timestamp,mode,packet_counter,rssi,distance
2026-02-23 11:36:13.950636,LORA,32,-55,1
2026-02-23 11:36:13.952885,LORA,33,-56,1
2026-02-23 11:36:13.955430,LORA,35,-56,1
2026-02-23 11:36:13.957678,LORA,36,-55,1
2026-02-23 11:36:13.960151,LORA,37,-54,1
2026-02-23 11:36:13.962416,LORA,39,-55,1
2026-02-23 11:36:13.964750,LORA,40,-55,1
2026-02-23 11:36:13.967205,LORA,41,-57,1
2026-02-23 11:36:13.969273,LORA,42,-58,1
2026-02-23 11:36:13.971545,LORA,44,-59,1
2026-02-23 11:36:13.973182,LORA,45,-58,1
2026-02-23 11:36:13.974523,LORA,46,-57,1
2026-02-23 11:36:13.975834,LORA,48,-54,1
2026-02-23 11:36:13.977922,LORA,9,-56,1
2026-02-23 11:36:13.979081,LORA,10,-55,1
2026-02-23 11:36:13.980615,LORA,11,-55,1
2026-02-23 11:36:13.982253,LORA,13,-54,1
2026-02-23 11:36:13.983623,LORA,14,-55,1
2026-02-23 11:36:13.984922,LORA,15,-54,1
2026-02-23 11:36:13.986216,LORA,17,-55,1
2026-02-23 11:36:13.987514,LORA,18,-55,1
2026-02-23 11:36:13.988597,LORA,19,-55,1
2026-02-23 11:36:13.989687,LORA,21,-53,1
2026-02-23 11:36:13.990780,LORA,22,-55,1
2026-02-23 11:36:13.991869,LORA,23,-57,1
2026-02-23 11:36:13.992898,LORA,24,-57,1
2026-02-23 11:36:13.993583,LORA,26,-56,1
2026-02-23 11:36:13.994550,LORA,27,-56,1
2026-02-23 11:36:13.995493,LORA,28,-54,1
2026-02-23 11:36:14.185653,LORA,30,-55,1
2026-02-23 11:36:14.296719,LORA,31,-56,1
2026-02-23 11:36:14.406606,LORA,32,-54,1
2026-02-23 11:36:14.619026,LORA,34,-50,1
2026-02-23 11:36:14.729937,LORA,35,-55,1
2026-02-23 11:36:14.840544,LORA,36,-54,1
2026-02-23 11:36:14.951749,LORA,37,-54,1
2026-02-23 11:36:15.163943,LORA,39,-55,1
2026-02-23 11:36:15.274550,LORA,40,-54,1
2026-02-23 11:36:15.385764,LORA,41,-55,1
2026-02-23 11:36:15.597825,LORA,43,-55,1
2026-02-23 11:36:15.708871,LORA,44,-55,1
2026-02-23 11:36:15.819835,LORA,45,-54,1
2026-02-23 11:36:15.930638,LORA,46,-54,1
2026-02-23 11:36:16.142827,LORA,48,-54,1
2026-02-23 11:36:16.253808,LORA,49,-54,1
2026-02-23 11:36:16.364733,LORA,50,-54,1
2026-02-23 11:36:16.576835,LORA,52,-54,1
2026-02-23 11:36:16.687625,LORA,53,-54,1
2026-02-23 11:36:16.798599,LORA,54,-54,1
2026-02-23 11:36:17.010757,LORA,56,-55,1
2026-02-23 11:36:17.121756,LORA,57,-54,1
2026-02-23 11:36:17.232545,LORA,58,-54,1
2026-02-23 11:36:17.343632,LORA,59,-54,1
2026-02-23 11:36:17.555727,LORA,61,-55,1
2026-02-23 11:36:17.666755,LORA,62,-55,1
2026-02-23 11:36:17.877956,LORA,64,-55,1
2026-02-23 11:36:17.989098,LORA,65,-56,1
2026-02-23 11:36:18.099558,LORA,66,-55,1
2026-02-23 11:36:18.210925,LORA,67,-56,1
2026-02-23 11:36:18.422668,LORA,69,-56,1
2026-02-23 11:36:18.533589,LORA,70,-55,1
2026-02-23 11:36:18.644506,LORA,71,-55,1
2026-02-23 11:36:18.755589,LORA,72,-56,1
2026-02-23 11:36:18.967515,LORA,74,-55,1
2026-02-23 11:36:19.078902,LORA,75,-55,1
2026-02-23 11:36:19.189755,LORA,76,-55,1
2026-02-23 11:36:19.401613,LORA,78,-56,1
2026-02-23 11:36:19.512546,LORA,79,-56,1
2026-02-23 11:36:19.623620,LORA,80,-56,1
2026-02-23 11:36:19.734604,LORA,81,-55,1
2026-02-23 11:36:19.946856,LORA,83,-55,1
2026-02-23 11:36:20.058257,LORA,84,-56,1
2026-02-23 11:36:20.168567,LORA,85,-55,1
2026-02-23 11:36:20.380785,LORA,87,-55,1
2026-02-23 11:36:20.491615,LORA,88,-55,1
2026-02-23 11:36:20.602652,LORA,89,-55,1
2026-02-23 11:36:20.814732,LORA,91,-56,1
2026-02-23 11:36:20.925548,LORA,92,-55,1
2026-02-23 11:36:21.036512,LORA,93,-56,1
2026-02-23 11:36:21.147591,LORA,94,-56,1
2026-02-23 11:36:21.359047,LORA,96,-55,1
2026-02-23 11:36:21.471884,LORA,97,-56,1
2026-02-23 11:36:21.580777,LORA,98,-55,1
2026-02-23 11:36:21.792633,LORA,100,-102,1
2026-02-23 11:36:21.903598,LORA,101,-56,1
2026-02-23 11:36:22.014624,LORA,102,-55,1
2026-02-23 11:36:22.226663,LORA,104,-56,1
2026-02-23 11:36:22.337693,LORA,105,-55,1
2026-02-23 11:36:22.449310,LORA,106,-55,1
2026-02-23 11:36:22.559549,LORA,107,-56,1
2026-02-23 11:36:22.771812,LORA,109,-55,1
2026-02-23 11:36:22.882760,LORA,110,-55,1
2026-02-23 11:36:22.993655,LORA,111,-56,1
2026-02-23 11:36:23.205835,LORA,113,-55,1
2026-02-23 11:36:23.316737,LORA,114,-56,1
2026-02-23 11:36:23.427594,LORA,115,-55,1
2026-02-23 11:36:23.538595,LORA,116,-55,1
2026-02-23 11:36:23.749960,LORA,118,-55,1
2026-02-23 11:36:23.860936,LORA,119,-55,1
2026-02-23 11:36:23.971933,LORA,120,-55,1
2026-02-23 11:36:24.183854,LORA,122,-56,1
2026-02-23 11:36:24.294947,LORA,123,-55,1
2026-02-23 11:36:24.405648,LORA,124,-55,1
2026-02-23 11:36:24.617639,LORA,126,-56,1
2026-02-23 11:36:24.728672,LORA,127,-56,1
2026-02-23 11:36:24.839694,LORA,128,-56,1
2026-02-23 11:36:24.950802,LORA,129,-55,1
2026-02-23 11:36:25.162616,LORA,131,-56,1
2026-02-23 11:36:25.273553,LORA,132,-56,1
2026-02-23 11:36:25.384583,LORA,133,-56,1
2026-02-23 11:36:25.596546,LORA,135,-55,1
2026-02-23 11:36:25.707531,LORA,136,-55,1
2026-02-23 11:36:25.818546,LORA,137,-55,1
2026-02-23 11:36:25.929564,LORA,138,-55,1
2026-02-23 11:36:26.141656,LORA,140,-55,1
2026-02-23 11:36:26.252864,LORA,141,-56,1
2026-02-23 11:36:26.363717,LORA,142,-55,1
2026-02-23 11:36:26.575593,LORA,144,-56,1
2026-02-23 11:36:26.685760,LORA,145,-55,1
2026-02-23 11:36:26.797178,LORA,146,-56,1
2026-02-23 11:36:27.009021,LORA,148,-55,1
2026-02-23 11:36:27.119916,LORA,149,-55,1
2026-02-23 11:36:27.230716,LORA,150,-56,1
2026-02-23 11:36:27.341985,LORA,151,-56,1
2026-02-23 11:36:27.553931,LORA,153,-55,1
2026-02-23 11:36:27.664903,LORA,154,-56,1
2026-02-23 11:36:27.775742,LORA,155,-55,1
2026-02-23 11:36:27.987904,LORA,157,-56,1
2026-02-23 11:36:28.098856,LORA,158,-54,1
2026-02-23 11:36:28.209766,LORA,159,-55,1
2026-02-23 11:36:28.320669,LORA,160,-56,1
2026-02-23 11:36:28.532943,LORA,162,-54,1
2026-02-23 11:36:28.644106,LORA,163,-55,1
2026-02-23 11:36:28.754688,LORA,164,-55,1
2026-02-23 11:36:28.966845,LORA,166,-54,1
2026-02-23 11:36:29.077891,LORA,167,-54,1
2026-02-23 11:36:29.188655,LORA,168,-54,1
2026-02-23 11:36:29.400843,LORA,170,-55,1
2026-02-23 11:36:29.511819,LORA,171,-54,1
2026-02-23 11:36:29.723869,LORA,173,-54,1
2026-02-23 11:36:30.036811,LORA,176,-55,1
2026-02-23 11:36:30.147800,LORA,177,-54,1
2026-02-23 11:36:30.257707,LORA,178,-54,1
2026-02-23 11:36:30.368878,LORA,179,-54,1
2026-02-23 11:36:30.479939,LORA,180,-54,1
2026-02-23 11:36:30.591010,LORA,181,-54,1
2026-02-23 11:36:30.701778,LORA,182,-54,1
2026-02-23 11:36:30.812725,LORA,183,-55,1
2026-02-23 11:36:31.025056,LORA,185,-54,1
2026-02-23 11:36:31.136048,LORA,186,-54,1
2026-02-23 11:36:31.246699,LORA,187,-54,1
2026-02-23 11:36:31.357835,LORA,188,-54,1
2026-02-23 11:36:31.468747,LORA,189,-54,1
2026-02-23 11:36:31.579894,LORA,190,-54,1
2026-02-23 11:36:31.791948,LORA,192,-54,1
2026-02-23 11:36:31.902956,LORA,193,-54,1
2026-02-23 11:36:32.013737,LORA,194,-54,1
2026-02-23 11:36:32.124903,LORA,195,-54,1
2026-02-23 11:36:32.336831,LORA,197,-55,1
2026-02-23 11:36:32.447904,LORA,198,-54,1
2026-02-23 11:36:32.558664,LORA,199,-54,1
2026-02-23 11:36:32.770641,LORA,201,-55,1
2026-02-23 11:36:32.881887,LORA,202,-54,1
2026-02-23 11:36:32.992738,LORA,203,-54,1
2026-02-23 11:36:33.204803,LORA,205,-54,1
2026-02-23 11:36:33.315699,LORA,206,-54,1
2026-02-23 11:36:33.426765,LORA,207,-55,1
2026-02-23 11:36:33.537759,LORA,208,-55,1
2026-02-23 11:36:33.749832,LORA,210,-54,1
2026-02-23 11:36:33.860150,LORA,211,-54,1
2026-02-23 11:36:33.970755,LORA,212,-54,1
2026-02-23 11:36:34.183001,LORA,214,-54,1
2026-02-23 11:36:34.294338,LORA,215,-54,1
2026-02-23 11:36:34.404727,LORA,216,-56,1
2026-02-23 11:36:34.515761,LORA,217,-54,1
2026-02-23 11:36:34.728001,LORA,219,-54,1
2026-02-23 11:36:34.839012,LORA,220,-54,1
2026-02-23 11:36:34.949767,LORA,221,-55,1
2026-02-23 11:36:35.161979,LORA,223,-54,1
2026-02-23 11:36:35.273002,LORA,224,-55,1
2026-02-23 11:36:35.383775,LORA,225,-55,1
2026-02-23 11:36:35.596817,LORA,227,-55,1
2026-02-23 11:36:35.706963,LORA,228,-55,1
2026-02-23 11:36:35.817778,LORA,229,-55,1
2026-02-23 11:36:35.928811,LORA,230,-54,1
2026-02-23 11:36:36.141111,LORA,232,-54,1
2026-02-23 11:36:36.251869,LORA,233,-54,1
2026-02-23 11:36:36.362696,LORA,234,-54,1
2026-02-23 11:36:36.574891,LORA,236,-54,1
2026-02-23 11:36:36.685786,LORA,237,-54,1
2026-02-23 11:36:36.796863,LORA,238,-55,1
2026-02-23 11:36:37.008971,LORA,240,-54,1
2026-02-23 11:36:37.118821,LORA,241,-55,1
2026-02-23 11:36:37.229768,LORA,242,-55,1
2026-02-23 11:36:37.340896,LORA,243,-54,1
2026-02-23 11:36:37.553084,LORA,245,-54,1
2026-02-23 11:36:37.664042,LORA,246,-56,1
2026-02-23 11:36:37.774819,LORA,247,-56,1
2026-02-23 11:36:37.986997,LORA,249,-56,1
2026-02-23 11:36:38.097881,LORA,250,-54,1
2026-02-23 11:36:38.208744,LORA,251,-54,1
2026-02-23 11:36:38.421135,LORA,253,-55,1
2026-02-23 11:36:38.532016,LORA,254,-54,1
2026-02-23 11:36:38.743805,LORA,256,-54,1
2026-02-23 11:36:38.855000,LORA,257,-55,1
2026-02-23 11:36:38.965823,LORA,258,-54,1
2026-02-23 11:36:39.076808,LORA,259,-55,1
2026-02-23 11:36:39.187949,LORA,260,-54,1
2026-02-23 11:36:39.399945,LORA,262,-54,1
2026-02-23 11:36:39.510950,LORA,263,-54,1
2026-02-23 11:36:39.621737,LORA,264,-54,1
