timestamp,mode,packet_counter,rssi,distance
2026-03-02 21:52:13.846404,LORA,31286,-93,175
2026-03-02 21:52:13.847764,LORA,31288,-93,175
2026-03-02 21:52:13.848858,LORA,31289,-92,175
2026-03-02 21:52:13.850093,LORA,31290,-93,175
2026-03-02 21:52:13.850857,LORA,31292,-93,175
2026-03-02 21:52:13.851518,LORA,31293,-92,175
2026-03-02 21:52:13.852157,LORA,31294,-91,175
2026-03-02 21:52:13.852768,LORA,31296,-92,175
2026-03-02 21:52:13.853446,LORA,31297,-94,175
2026-03-02 21:52:14.041781,LORA,31644,-96,175
2026-03-02 21:52:14.152691,LORA,31645,-98,175
2026-03-02 21:52:14.364971,LORA,31647,-99,175
2026-03-02 21:52:14.475851,LORA,31648,-95,175
2026-03-02 21:52:14.586630,LORA,31649,-97,175
2026-03-02 21:52:14.900001,LORA,31652,-94,175
2026-03-02 21:52:15.010956,LORA,31653,-91,175
2026-03-02 21:52:15.121675,LORA,31654,-95,175
2026-03-02 21:52:15.232747,LORA,31655,-93,175
2026-03-02 21:52:15.344825,LORA,31656,-92,175
2026-03-02 21:52:15.455006,LORA,31657,-98,175
2026-03-02 21:52:15.668088,LORA,31659,-100,175
2026-03-02 21:52:15.778685,LORA,31660,-94,175
2026-03-02 21:52:15.889612,LORA,31661,-97,175
2026-03-02 21:52:16.000700,LORA,31662,-93,175
2026-03-02 21:52:16.111751,LORA,31663,-94,175
2026-03-02 21:52:16.324180,LORA,31665,-96,175
2026-03-02 21:52:16.434769,LORA,31666,-92,175
2026-03-02 21:52:16.545657,LORA,31667,-88,175
2026-03-02 21:52:16.656981,LORA,31668,-88,175
2026-03-02 21:52:16.767827,LORA,31669,-88,175
2026-03-02 21:52:16.980286,LORA,31671,-87,175
2026-03-02 21:52:17.090902,LORA,31672,-88,175
2026-03-02 21:52:17.201787,LORA,31673,-88,175
2026-03-02 21:52:17.414267,LORA,31675,-85,175
2026-03-02 21:52:17.524939,LORA,31676,-85,175
2026-03-02 21:52:17.635827,LORA,31677,-86,175
2026-03-02 21:52:17.848058,LORA,31679,-86,175
2026-03-02 21:52:17.959011,LORA,31680,-87,175
2026-03-02 21:52:18.069921,LORA,31681,-86,175
2026-03-02 21:52:18.180974,LORA,31682,-87,175
2026-03-02 21:52:18.393393,LORA,31684,-86,175
2026-03-02 21:52:18.504043,LORA,31685,-86,175
2026-03-02 21:52:18.615842,LORA,31686,-87,175
2026-03-02 21:52:18.827972,LORA,31688,-87,175
2026-03-02 21:52:18.938822,LORA,31689,-87,175
2026-03-02 21:52:19.049860,LORA,31690,-87,175
2026-03-02 21:52:19.262250,LORA,31692,-87,175
2026-03-02 21:52:19.372856,LORA,31693,-87,175
2026-03-02 21:52:19.483813,LORA,31694,-87,175
2026-03-02 21:52:19.696175,LORA,31696,-87,175
2026-03-02 21:52:19.908009,LORA,31698,-87,175
2026-03-02 21:52:20.018862,LORA,31699,-87,175
2026-03-02 21:52:20.129714,LORA,31700,-87,175
2026-03-02 21:52:20.240875,LORA,31701,-88,175
2026-03-02 21:52:20.352120,LORA,31702,-87,175
2026-03-02 21:52:20.463795,LORA,31703,-87,175
2026-03-02 21:52:20.676020,LORA,31705,-87,175
2026-03-02 21:52:20.786854,LORA,31706,-87,175
2026-03-02 21:52:20.897841,LORA,31707,-87,175
2026-03-02 21:52:21.110072,LORA,31709,-87,175
2026-03-02 21:52:21.220763,LORA,31710,-87,175
2026-03-02 21:52:21.332004,LORA,31711,-87,175
2026-03-02 21:52:21.544337,LORA,31713,-87,175
2026-03-02 21:52:21.655000,LORA,31714,-87,175
2026-03-02 21:52:21.765773,LORA,31715,-86,175
2026-03-02 21:52:21.978241,LORA,31717,-87,175
2026-03-02 21:52:22.089092,LORA,31718,-87,175
2026-03-02 21:52:22.200022,LORA,31719,-87,175
2026-03-02 21:52:22.412421,LORA,31721,-88,175
2026-03-02 21:52:22.523166,LORA,31722,-88,175
2026-03-02 21:52:22.634844,LORA,31723,-87,175
2026-03-02 21:52:22.847258,LORA,31725,-86,175
2026-03-02 21:52:22.957872,LORA,31726,-87,175
2026-03-02 21:52:23.069025,LORA,31727,-87,175
2026-03-02 21:52:23.180047,LORA,31728,-87,175
2026-03-02 21:52:23.391934,LORA,31730,-86,175
2026-03-02 21:52:23.502963,LORA,31731,-87,175
2026-03-02 21:52:23.613757,LORA,31732,-87,175
2026-03-02 21:52:23.826235,LORA,31734,-87,175
2026-03-02 21:52:23.937125,LORA,31735,-87,175
2026-03-02 21:52:24.149074,LORA,31737,-86,175
2026-03-02 21:52:24.260193,LORA,31738,-87,175
2026-03-02 21:52:24.372007,LORA,31739,-87,175
2026-03-02 21:52:24.483034,LORA,31740,-87,175
2026-03-02 21:52:24.695101,LORA,31742,-87,175
2026-03-02 21:52:24.805910,LORA,31743,-87,175
2026-03-02 21:52:24.916910,LORA,31744,-87,175
2026-03-02 21:52:25.129126,LORA,31746,-87,175
2026-03-02 21:52:25.239830,LORA,31747,-88,175
2026-03-02 21:52:25.350910,LORA,31748,-87,175
2026-03-02 21:52:25.461855,LORA,31749,-87,175
2026-03-02 21:52:25.674097,LORA,31751,-87,175
2026-03-02 21:52:25.785120,LORA,31752,-87,175
2026-03-02 21:52:25.895820,LORA,31753,-88,175
2026-03-02 21:52:26.108280,LORA,31755,-87,175
2026-03-02 21:52:26.219192,LORA,31756,-87,175
2026-03-02 21:52:26.329849,LORA,31757,-87,175
2026-03-02 21:52:26.542323,LORA,31759,-87,175
2026-03-02 21:52:26.653258,LORA,31760,-87,175
2026-03-02 21:52:26.764738,LORA,31761,-87,175
