mode,date,time,distance,rssi_min,rssi_max,rssi_avg,packet_loss_percent,data_rate_bit_s,received_packets
LORA,2026-03-02,21:37:40.093589,100,-101,-80,-86.29,59.97,1381.33,259
LORA,2026-03-02,21:42:12.297623,50,-97,-77,-85.92,83.75,1397.33,262
LORA,2026-03-02,21:43:50.084361,125,-102,-73,-89.59,71.3,1376.0,258
LORA,2026-03-02,21:46:36.324919, 125,-103,-82,-86.15,47.92,1200.0,225
LORA,2026-03-02,21:51:34.927431,150,-100,-83,-91.59,91.88,1189.33,223
LORA,2026-03-02,21:52:43.939360,175,-100,-85,-87.85,65.3,1173.33,220
LORA,2026-03-02,21:53:53.914013,200,-98,-86,-88.31,63.86,1237.33,232
LORA,2026-03-02,21:54:56.284785,225,-97,-84,-89.59,61.01,1189.33,223
LORA,2026-03-02,21:55:58.207933,250,-101,-87,-96.15,60.98,1184.0,222
LORA,2026-03-02,21:56:58.847985,275,-102,-82,-97.98,66.42,981.33,184
LORA,2026-03-02,21:58:03.421342,300,-100,-93,-95.83,69.59,960.0,180
LORA,2026-03-02,21:58:42.564635,300,-100,-91,-94.78,36.21,1221.33,229
LORA,2026-03-02,22:00:26.489299,325,-102,-95,-98.95,90.56,416.0,78
LORA,2026-03-02,22:01:03.196586,325,-101,-94,-96.95,58.1,234.67,44
LORA,2026-03-02,22:01:38.670387,325,-102,-94,-97.36,57.06,746.67,140
LORA,2026-03-02,22:03:30.240918,90,-102,-91,-97.51,86.24,752.0,141
LORA,2026-03-02,22:06:52.618630,25,-102,-66,-73.23,87.86,1205.33,226
LORA,2026-03-02,22:07:58.473703,26,-96,-71,-77.09,62.52,1205.33,226
LORA,2026-03-02,22:08:56.506276,50,-88,-70,-74.81,57.33,1210.67,227
LORA,2026-03-02,22:10:14.429323,0,-81,-45,-56.99,86.28,368.0,69
